,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buildings and other fixed structures,4334.083742,7029.231886,8682.943,10148.525,11359.364,13104.953,15368.61073,17804.47604,23295.879,25940.98867,25705.314,30324.70782,34902.17056,35985.497,38435.20011,44333.16479,39199.32846,39366.74518,37773.37145,32499.87344,30978.17133,34357.95978,34823.95008,39097.00
Buildings,1597.082519,3605.709886,4362.707,5437.326,7192.117,8720.752,10300.11224,11681.1617,15337.684,16299.053,15949.1066,20645.549,18689.46018,18985.291,19384.42419,20701.85459,22377.64946,23467.77118,22999.75435,21162.68744,19712.21433,19064.37978,20239.62664,21546.50
Other fixed structures,2737.001223,3423.522,4320.236,4711.199,4167.247,4384.201,5068.498488,6123.314346,7958.195,9641.935667,9756.2074,9679.158817,16212.71038,17000.206,19050.77592,23631.3102,16821.679,15898.974,14773.6171,11337.186,11265.957,15293.58,14584.32344,17550.50
Machinery and equipment,2480.342368,4082.800924,4266.6382,4597.229,4790.968,6896.1,6189.907851,5834.750703,6210.738574,6350.649,7316.216513,8870.92543,8924.013433,8950.08315,9850.318874,9807.432975,9241.731136,10371.37896,10036.30097,11236.14289,12215.41188,11742.47612,13041.71778,13693.80
Transport equipment,529.4007442,792.084,873.085,1138.803,1330.271,1548.397,1982.414605,1952.855465,1939.029486,1919.094,2608.263041,3193.607498,3126.614936,3105.0585,3579.786086,4139.470018,3621.990985,4455.105646,4144.144992,4215.377034,4821.872576,4435.837,5204.687813,4613.70
Other machinery and equipment,1950.941624,3290.716924,3393.5532,3458.426,3460.697,5347.703,4207.493246,3881.895238,4271.709088,4431.555,4707.953472,5677.317932,5797.398497,5845.02465,6270.532788,5667.962957,5619.740151,5916.273311,5892.15598,7020.765856,7393.539304,7306.639118,7837.02997,9080.20
Land and sub-soil assets,112.6014694,11.686,42.234,72.358,50.442,198.525,104.369,159.3463,75.237,246.533,854.419,195.648,173.099,137.048,357.72,208.9611,139.741,180.077,102.478,136.86,744.221,1906.198,2193.203,568.1
Software and other intangible assets,42.80586494,51.248,55.264,53.821,132.75,344.626,369.1287421,285.6563689,360.416,481.938,531.874,545.427,239.495,299.493,349.024766,457.8078,1202.261588,678.654967,644.3490157,967.2195068,893.2422131,729.5123858,1026.081555,764
Other assets,1.050623784,13.93,0.063,21.661,2.486,4.821,6.7909138,15.73706,66.751,11.704,20.426,31.088,54.314,17.954,157.1932454,222.362,147.699,80.903,104.949,71.059,106.779,50.53,293.048,521.3
Payments for financial assets,76.71627937,58.28,168.322,214.782,746.751,327.865,1434.88,1253.613,11054.73,33312.928,22437.775,3044.316,5086.539,4194.021,5620.82189,30252.3193,7183.715,19309.0847,14764.98098,65128.309,89865.175,74072.001,68086.483,2674.20
Subtotal: votes and direct charges,243163.743,272768.1601,311124.5069,348427.1928,383126.9544,435599.7004,493777.2341,568277.7444,674583.7172,782556.6416,839047.1651,922001.2272,1001858.67,1095738.209,1179496.405,1303196.513,1379770.421,1479404.068,1590867.033,1769450.981,1924312.579,1994799.427,2097495.354,2167912.90
Plus:,,,,,,,,,,,,,,,,,,,,,,,,
Contingency reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total consolidated expenditure,243163.743,272768.1601,311124.5069,348427.1928,383126.9544,435599.7004,493777.2341,568277.7444,674583.7172,782556.6416,839047.1651,922001.2272,1001858.67,1095738.209,1179496.405,1303196.513,1379770.421,1479404.068,1590867.033,1769450.981,1924312.579,1994799.427,2097495.354,2167912.90
