,,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Health promotion levy,,0,0,0,0,0,0,0,0,0,0,0,0,3195109.581,2446183.892,2046176.932,2182322.691,2194699.866,2253946.22
Ad valorem excise duties,,1282664,1480454,1169529,1275941.987,1596228.52,1828346.873,2231940.639,2363310.396,2962254.673,3014050.811,3396164.363,3780886.942,4191871.181,4124241.256,3385506.511,4725139.52,5520495.025,7782257.06
Fuel levy,,21844641,23740511,24883776,28832536.45,34417576.67,36602263.22,40410388.91,43684653.62,48466532.35,0,62778833.79,70948575.53,75372226.09,80175160.06,75502814.37,88889069.8,80472844.28,93371937.51
Taxes on use of goods or permission to use goods,,,,,,,,,,,,,,,,,,,
or to perform activities,,,,,,,,,,,,,,,,,,,
Air departure tax,,484823,540635,549365,580326.0835,647809.665,762416.2329,873060.4579,878697.4605,906575.1803,941226.0588,1003904.356,1086040.273,1082862.256,1068258.392,138464.9073,285087.8813,788581.8548,885984.0839
Plastic bag levy,,75128,86314,78563,110510.0575,258222.4549,53832.49403,150816.5844,169243.2099,174297.6192,183328.4392,231874.9336,241295.027,300394.7908,317897.4074,581434.0689,658216.2282,679817.79,655642.2587
Electricity levy,,0,0,0,3341691.172,4996365.538,6429721,7983940.437,8818930.063,8648170.215,8471774,8457668.358,8500969.68,8403962.071,8290675.608,7739339.642,7890564.636,7374435.737,6979092.477
Incandescent light bulb levy,,0,0,0,63879.96135,151082.5092,143787.1909,136791.7902,71801.7779,90877.17325,51800.8317,70206.47431,55358.77064,40719.25095,33963.09989,24880.67954,23344.7456,24181.6941,19929.10326
CO2 tax - motor vehicle emissions,,0,0,0,0,625890.7725,1617352.581,1567381.655,1711178.593,1483337.429,1276835.193,1208520.89,1336817.963,1390472.306,1327417.477,1469581.714,2173480.78,2929578.969,2775942.753
Tyre levy,,0,0,0,0,0,0,0,0,0,0,77242.37261,715996.8077,730203.7448,708018.0634,601142.7483,714926.799,745272.937,755152.5987
International Oil Pollution Compensation Fund,,0,0,0,0,0,0,0,0,0,0,803.42867,3018.60154,5481.25137,3093.03305,2670.9128,0,0,2500
Carbon tax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650373.7709,1397618.05,1590393.725,2080723.074
Turnover tax for micro businesses,,0,0,0,6493.21393,2801.95498,5703.07821,11318.53797,17461.20304,17308.84132,22877.77479,23338.70622,33504.10493,12938.36784,8449.88042,8512.55559,8793.03741,12138.62263,8539.146918
Other,,,,,,,,,,,,,,,,,,,
